;Provinsi;Kota/Kabupaten;Website;Framework;;;;;;;;;;;;;;;;;;;;;;;
44;Jawa Tengah;Kabupaten Batang;https://jdih.batangkab.go.id/;;;;;;;;;;;;;Ubuntu;Webpack;Vue.js;Nuxt.js;Node.js;Express;Nginx;;;;;
45;Jawa Tengah;Kabupaten Blora;https://jdih.blorakab.go.id/;JQuery;Laravel;PHP;Apache;Bootstrap;;;;;;;;PrettyPhoto;CentOS;;;;;;;;;;
46;Jawa Tengah;Kabupaten Boyolali ;;;;;;;;;;;;;;;;;;;;;;;;;
47;Jawa Tengah;Kabupaten Brebes;http://jdih.brebeskab.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Google Font API;DataTables;JQuery UI;;;;;;;;;;;;;;;
48;Jawa Tengah;Kabupaten Cilacap;http://jdih.cilacapkab.go.id/;JQuery;;PHP;Apache;FancyBox;;;;;;;;;;;;;;;;;;;
49;Jawa Tengah;Kabupaten Demak;http://jdih.demakkab.go.id/;JQuery;Vue.js;;;Bootstrap;Font Awesome;;;;;;;;;;;;;;;;;;
50;Jawa Tengah;Kabupaten Grobogan;https://jdih.grobogan.go.id/;JQuery;;;Apache;Bootstrap;Font Awesome;Google Font API;DataTables;;;;;;;;;;;;;;;;
51;Jawa Tengah;Kabupaten Jepara;http://jdih.jepara.go.id/;JQuery;Wordpress;;Nginx;;Font Awesome;Google Font API;DataTables;JQuery Migrate;MySQL;Select2;;;;;;;;;;;;;
52;Jawa Tengah;Kabupaten Karanganyar;http://jdih.karanganyarkab.go.id/;JQuery;;PHP;Apache;Bootstrap;Font Awesome;;;;Animate.css;;;;;;;;;;;;;;
53;Jawa Tengah;Kabupaten Kebumen;https://jdih.kebumenkab.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;FancyBox;Modernizr;Select2;;;;;;;;;;;;;;;;
54;Jawa Tengah;Kabupaten Kendal;https://jdih.kendalkab.go.id/;JQuery;JQuery Mobile;PHP;LiteSpeed;Bootstrap;Animate.css;Font Awesome;Google Font API;Glyphicons;;;;;;;;;;;;;;;
55;Jawa Tengah;Kabupaten Klaten;http://jdih.klatenkab.go.id/;JQuery;Wordpress;PHP;Apache;Elementor;Font Awesome;Google Font API;MySQL;JQuery Migrate;Yoast SEO;;;;;;;;;;;;;;
56;Jawa Tengah;Kabupaten Kudus;http://jdih.kuduskab.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;FancyBox;Font Awesome;Modernizr;FancyBox;JQuery UI;;;;;;;;;;;;;;
57;Jawa Tengah;Kabupaten Magelang ;http://jdih.magelangkab.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;;;;;;;;;;;;;;;;;;
58;Jawa Tengah;Kabupaten Pati;https://jdih.patikab.go.id/;JQuery;CodeIgniter;PHP;Cloudfare;Bootstrap;Data Tables;;;;;;;;;;;;;;;;;;
59;Jawa Tengah;Kabupaten Pekalongan;http://jdih.pekalongankab.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Data Tables;;;;;;;;;;;;;;;;;
60;Jawa Tengah;Kabupaten Pemalang;https://www.pemalangkab.go.id/jdih/;JQuery;Wordpress;PHP;Apache;Bootstrap;Font Awesome;Google Font API;MySQL;JQuery Migrate;Google Tag Manager;;;;;;;;;;;;;;
61;Jawa Tengah;Kabupaten Purbalingga;https://jdih.purbalinggakab.go.id/;JQuery;CodeIgniter;PHP;Cloudfare;Bootstrap;Raphael;Data Tables;Modernizr;Hammer.js;Lodash;;;;;;;;;;;;;;
62;Jawa Tengah;Kabupaten Purworejo;https://jdih.purworejokab.go.id/;JQuery;Wordpress;PHP;LiteSpeed;UIkit;Highchart;MySQL;;;;;;;;;;;;;;;;;
63;Jawa Tengah;Kabupaten Rembang;http://jdih.rembangkab.go.id/;JQuery;Wordpress;;Nginx;;;Google Font API;MySQL;JQuery Migrate;;;;;;;;;;;;;;;
64;Jawa Tengah;Kabupaten Semarang;http://jdih.semarangkab.go.id/;JQuery;CodeIgniter;PHP;Nginx;Bootstrap;;;;;;;;;;;;;;;;;;;
65;Jawa Tengah;Kabupaten Sragen;http://jdih.sragenkab.go.id/;JQuery;;PHP;Apache;Bootstrap;Font Awesome;OpenSSL;;;;;;;;;;;;;;;;;
66;Jawa Tengah;Kabupaten Sukoharjo ;http://jdih.sukoharjokab.go.id/;JQuery;CodeIgniter;PHP;Nginx;Bootstrap;Font Awesome;Google Font API;Modernizr;;;;;;;;;;;;;;;;
67;Jawa Tengah;Kabupaten Tegal;https://jdih.tegalkab.go.id/;JQuery;Joomla;PHP;Apache;Bootstrap;Font Awesome;Google Font API;MooTools;JQuery Migrate;;;;;;;;;;;;;;;
68;Jawa Tengah;Kabupaten Temanggung;http://jdih.temanggungkab.go.id/;JQuery;CodeIgniter;PHP;Nginx;;;;;;;;;;;;;;;;;;;;
69;Jawa Tengah;Kabupaten Wonogiri;http://jdih.wonogirikab.go.id/;JQuery;Wordpress;PHP;Apache;Bootstrap;Font Awesome;Google Font API;MySQL;JQuery Migrate;JQuery Mobile;Slick;;;;;;;;;;;;;
70;Jawa Tengah;Kabupaten Wonosobo;https://jdih.wonosobokab.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Animate.css;Modernizr;Slimbox 2;;;;;;;;;;;;;;;
71;Jawa Tengah;Kota Magelang;http://jdih.magelangkota.go.id/;JQuery;Wordpress;PHP;Apache;UIkit;Font Awesome;Google Font API;Highchart;MySQL;Handlebars;;;;;;;;;;;;;;
